,time_value,average_dist1
0,0.0,0.0
1,0.03333333333333333,0.11109378488574974
2,0.06666666666666667,0.17872878825254127
3,0.1,0.2548252133056354
4,0.13333333333333333,0.336058007010905
5,0.16666666666666666,0.415962700728826
6,0.2,0.487998997675956
7,0.23333333333333334,0.5591383455935722
8,0.26666666666666666,0.6733882289260537
9,0.3,0.7662887435181821
10,0.3333333333333333,0.8301474663499044
11,0.36666666666666664,0.9111408619199874
12,0.4,0.9830360665947959
13,0.43333333333333335,1.0408896416780893
14,0.4666666666666667,1.113821712717502
15,0.5,1.1358450292243023
16,0.5333333333333333,1.1836831576915037
17,0.5666666666666667,1.2319609567150234
18,0.6,1.3279314813116978
19,0.6333333333333333,1.391105754641017
20,0.6666666666666666,1.4383306758315628
21,0.7,1.5090702688092767
22,0.7333333333333333,1.5881639543353583
23,0.7666666666666667,1.6384370665807095
24,0.8,1.657159824558164
25,0.8333333333333334,1.6851371760125988
26,0.8666666666666667,1.746581135000639
27,0.9,1.7506871172852652
28,0.9333333333333333,1.8095232153408938
29,0.9666666666666667,1.8609664427328758
30,1.0,1.8670606447301823
31,1.0333333333333334,1.9082604648894121
32,1.0666666666666667,1.9437274178419115
33,1.1,1.9870471921910802
34,1.1333333333333333,1.9970509150514277
35,1.1666666666666667,2.0433667898175516
36,1.2,2.044954709455132
37,1.2333333333333334,2.0862788286615914
38,1.2666666666666666,2.1202032995800892
39,1.3,2.147913122709969
40,1.3333333333333333,2.160338972181998
41,1.3666666666666667,2.2271400370163845
42,1.4,2.275290970755454
43,1.4333333333333333,2.2978709741397565
44,1.4666666666666666,2.361295311063727
45,1.5,2.4269538977852516
46,1.5333333333333334,2.4712445731562203
47,1.5666666666666667,2.5234275557392993
48,1.6,2.575702312867318
49,1.6333333333333333,2.619478924860324
50,1.6666666666666667,2.6362441134041186
51,1.7,2.668740282944481
52,1.7333333333333334,2.6987326422080966
53,1.7666666666666666,2.7419393999378205
54,1.8,2.741628466497773
55,1.8333333333333333,2.7869011895681814
56,1.8666666666666667,2.8172029673157493
57,1.9,2.8258117062249473
58,1.9333333333333333,2.8844016166128728
59,1.9666666666666666,2.9436916707115137
60,2.0,3.0253276573347794
61,2.033333333333333,3.072435744500175
62,2.066666666666667,3.1059107110769677
63,2.1,3.1452496401601895
64,2.1333333333333333,3.167043834803285
65,2.1666666666666665,3.2138102417588703
66,2.2,3.2483029566465618
67,2.2333333333333334,3.272232459140027
68,2.2666666666666666,3.3233675610188715
69,2.3,3.3642144586369676
70,2.3333333333333335,3.3878675920409047
71,2.3666666666666667,3.4068089218709057
72,2.4,3.410857094628614
73,2.433333333333333,3.433054894898774
74,2.466666666666667,3.4406335912552937
75,2.5,3.4337567067563817
76,2.533333333333333,3.4012105459607045
77,2.566666666666667,3.366633699989284
78,2.6,3.345193935674205
79,2.6333333333333333,3.316368382679792
80,2.6666666666666665,3.326014819485124
81,2.7,3.301084101389416
82,2.7333333333333334,3.325005825342074
83,2.7666666666666666,3.3546602293590286
84,2.8,3.38083401296898
85,2.8333333333333335,3.4128933857772568
86,2.8666666666666667,3.4396761314744024
87,2.9,3.439676714738734
88,2.933333333333333,3.4596016005150854
89,2.966666666666667,3.4921512630165963
90,3.0,3.533800594774308
91,3.033333333333333,3.5544538650160304
92,3.066666666666667,3.556644803217987
93,3.1,3.5596999497371318
94,3.1333333333333333,3.5579373762998667
95,3.1666666666666665,3.548003701404498
96,3.2,3.553875500278854
97,3.2333333333333334,3.595862602586083
98,3.2666666666666666,3.6065486984317325
99,3.3,3.585038819565893
100,3.3333333333333335,3.601515943500931
101,3.3666666666666667,3.561268132588037
102,3.4,3.549893703537343
103,3.433333333333333,3.5392095952573723
104,3.466666666666667,3.6147832163569595
105,3.5,3.6288859241503797
106,3.533333333333333,3.658038188530367
107,3.566666666666667,3.6433406715953436
108,3.6,3.664995010920479
109,3.6333333333333333,3.6797006304460607
110,3.6666666666666665,3.661758169405497
111,3.7,3.7452691723351683
112,3.7333333333333334,3.784971017044784
113,3.7666666666666666,3.819869907716317
114,3.8,3.8473996757226225
115,3.8333333333333335,3.842017101568263
116,3.8666666666666667,3.847065145537316
117,3.9,3.868961257595558
118,3.933333333333333,3.855201204949111
119,3.966666666666667,3.909346670399251
120,4.0,3.925296434842573
121,4.033333333333333,3.8997642562551187
122,4.066666666666666,3.911841475447671
123,4.1,3.914749614025046
124,4.133333333333334,3.9228068539592535
125,4.166666666666667,3.939887380783856
126,4.2,3.920807473061763
127,4.233333333333333,3.9793932167788637
128,4.266666666666667,3.992975193753529
129,4.3,4.044497922693443
130,4.333333333333333,4.031985495895808
131,4.366666666666666,4.008796922872957
132,4.4,3.9969548033937077
133,4.433333333333334,4.014085148163222
134,4.466666666666667,4.0330542199235095
135,4.5,4.048655884850033
136,4.533333333333333,4.069637955097181
137,4.566666666666666,4.079524112440144
138,4.6,4.091342613332255
139,4.633333333333334,4.103010302202157
140,4.666666666666667,4.126737820752582
141,4.7,4.161642316802111
142,4.733333333333333,4.213072777149357
143,4.766666666666667,4.253250430847098
144,4.8,4.275237398923549
145,4.833333333333333,4.336195598168477
146,4.866666666666666,4.370184346732947
147,4.9,4.397620022409097
148,4.933333333333334,4.49399738332858
149,4.966666666666667,4.536538686901502
150,5.0,4.567795594963372
151,5.033333333333333,4.595765947731944
152,5.066666666666666,4.625367108739628
153,5.1,4.608340712280459
154,5.133333333333334,4.627135358245621
155,5.166666666666667,4.639971832423501
156,5.2,4.63305572654801
157,5.233333333333333,4.628385457998016
158,5.266666666666667,4.620916661006699
