scorer,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000,DLC_mobnet_100_Active MatterJan31shuffle1_20000
bodyparts,blue,blue,blue,light,light,light,green,green,green,yellow,yellow,yellow,pink,pink,pink,red,red,red,blue,blue,blue,light,light,light,green,green,green,yellow,yellow,yellow,pink,pink,pink,red,red,red,blue,blue,blue,light,light,light,green,green,green,yellow,yellow,yellow,pink,pink,pink,red,red,red
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,282.7750244,178.6468048,0.998300672,177.4677734,297.2310486,0.997034669,111.2929764,256.543396,0.892919779,351.7180176,177.5826416,0.998544812,99.2727356,373.721344,0.205149919,155.4755402,130.9361725,0.986460209,145.9951935,282.9590149,0.998775363,143.6432953,151.6246643,0.999159932,289.3444519,124.1802216,0.973444819,409.6964722,151.8430634,0.998934507,105.002449,292.9960938,0.556382954,390.9102173,259.4326172,0.993994713,53.54871368,211.6084137,0.999913335,227.9850769,270.013092,0.999247909,159.1530762,66.69979858,0.998495638,248.1811066,118.7196808,0.999756575,224.4525604,211.2241211,0.993842959,76.4546051,324.1972046,0.99686265
1,282.9733887,177.5835114,0.998913646,179.6015778,297.2786255,0.999233961,110.7261047,255.7958832,0.998661995,345.8496704,179.1630554,0.998978019,95.90615845,377.4889526,0.363756001,149.6001282,131.3852234,0.988224864,145.8495178,281.6268616,0.995948434,145.9767761,152.745575,0.999525189,278.9464111,123.6949234,0.97640574,409.2471924,149.5203247,0.999147475,106.0607605,291.765625,0.995682716,390.9705505,260.8449097,0.972490549,52.9585762,211.9636536,0.999932766,227.6587219,270.4195862,0.999354064,154.6329956,69.83260345,0.997383058,247.0917969,118.4192581,0.999854684,220.2250366,210.4521942,0.996564388,76.58312225,323.9179688,0.997672141
2,283.9348755,175.0261993,0.997295618,180.6087952,295.6540222,0.999216437,112.3340988,255.213623,0.999492288,348.6851196,177.6666412,0.999359429,92.71172333,382.4369812,0.770221949,149.0462341,129.6522827,0.998543501,143.191803,282.438385,0.997090399,149.4765778,153.1567078,0.999267817,286.4136353,123.1156235,0.955669761,413.0524292,149.333313,0.998662472,105.5504608,292.6242065,0.986064017,395.1734619,257.690979,0.988302886,51.9299469,210.5557098,0.999897718,226.0578461,271.0578308,0.999496579,154.5020142,70.43048859,0.998014987,248.05867,118.2724838,0.999838471,217.7826538,204.557373,0.995483637,76.63552856,322.5845642,0.997909546
3,284.8435669,177.0274506,0.997377157,179.9843445,295.6768799,0.999466777,115.1976852,256.7261963,0.999314606,347.2906189,178.835434,0.99919939,94.08570099,380.2108459,0.920556009,148.104599,129.0443878,0.998778164,142.1542664,281.9718933,0.997787297,152.7129517,158.7613983,0.99878037,285.4363098,122.5520477,0.964047551,412.4120483,147.7444305,0.999234557,105.9713135,293.3560791,0.967529774,396.2495117,257.5027161,0.997344375,52.02885056,209.4694672,0.999909639,225.5178833,271.127594,0.999506474,154.2936401,69.31166077,0.998928249,247.4876099,118.1034851,0.999839783,217.6596069,203.7894745,0.996885896,76.5254364,322.6995544,0.998712301
4,284.8153076,175.4373779,0.997123122,180.4250336,296.6504822,0.999540269,117.1500244,258.3223267,0.999281824,349.1349182,177.8252411,0.999361694,93.39855957,378.824585,0.941834629,145.48909,130.0730743,0.999221206,143.2689056,280.9927979,0.998025537,154.5957947,158.9663086,0.998012483,287.4788513,118.2650452,0.984275222,412.8959351,147.5649567,0.999336123,106.1349411,293.7388306,0.980647683,397.5390625,257.0420837,0.999258697,51.21792221,208.5722809,0.999905586,225.8505402,271.1112061,0.999478459,153.9387817,69.97702026,0.998809516,246.2367249,118.0161667,0.999829173,216.2334595,201.8531189,0.998214602,76.20079041,321.644989,0.999008775
5,282.8353882,175.4330902,0.997919202,181.2276459,296.9160767,0.999667764,119.3355026,258.9620667,0.999018192,351.6862793,178.8384552,0.999073327,89.24558258,379.6729431,0.973434091,144.6712952,130.861908,0.999270082,143.9202881,281.5969849,0.998174965,156.2340393,162.6150055,0.998551846,282.6795044,118.5255203,0.987530947,410.1709595,146.9606476,0.999340296,104.3094254,292.4584045,0.99740833,398.5445862,257.0535583,0.999458194,51.40197372,208.8235016,0.999908209,224.9279785,270.6772766,0.99944973,153.2945404,69.59224701,0.999548197,245.1814728,117.9250336,0.99985981,214.7416382,200.4867096,0.99867928,75.85157013,320.3632202,0.999030292
6,282.756897,174.8917542,0.997774184,182.8615112,296.1968384,0.999612093,120.5716934,260.9362793,0.99767077,351.2008667,180.6565552,0.999469995,89.21908569,380.4971008,0.981609225,144.5624237,130.603363,0.998988688,143.6639099,280.3132629,0.998159885,157.0903168,163.4569702,0.997939289,281.5445862,115.9805679,0.99412781,411.5923767,146.8538513,0.999123514,103.9842529,292.7850037,0.998677254,400.9090271,256.299408,0.999466896,50.64161682,207.5339966,0.999888182,225.4046936,270.2331543,0.999189377,153.9310303,69.77001953,0.999245524,245.430481,118.2853394,0.999858618,213.3319397,196.641922,0.999261975,75.49346161,319.3943481,0.998490751
7,281.1247864,169.878067,0.998236179,182.3830719,295.2606201,0.999777675,122.5853348,259.8917236,0.99744314,352.0523376,181.6287994,0.999447465,89.7000351,380.1543884,0.992909551,144.3383942,130.1421814,0.999168158,143.6361542,281.1712341,0.998528063,161.005722,165.9196472,0.999568999,280.1576843,111.6038284,0.998358846,413.770874,146.1786194,0.99905014,103.3914871,292.8129272,0.998845577,401.7293701,255.8909149,0.999523282,52.28283691,207.6779938,0.999869943,224.9862061,270.8260803,0.99936372,154.8908386,69.12683105,0.9989568,244.3755341,118.0998306,0.999856353,213.9208069,193.1264191,0.999363303,74.15687561,320.0661011,0.997802436
8,284.4617615,174.0391083,0.99683708,183.3504028,293.0429382,0.999736249,127.8815308,257.3065491,0.998026729,353.9071655,181.0823669,0.999753475,88.54862976,381.8417969,0.997456312,144.840683,131.6895752,0.999174356,143.7682343,278.9995117,0.999239445,160.9262085,167.9632111,0.999033928,281.2272339,109.8036575,0.995881379,414.9993896,144.5353699,0.998547077,106.0386429,292.6242065,0.997435331,401.5290833,256.0812683,0.999539077,53.3247757,206.4904022,0.999807119,225.1568298,271.327179,0.999499202,155.1753693,69.41603851,0.998276353,244.4513702,119.2978058,0.999798715,213.392334,190.1481476,0.997967958,73.28022766,318.3092041,0.997795105
